"","Rank","Title","Link","NA"
"1","1"," Breaking Bad","https://imdb.com/title/tt0903747/?ref_=chttvtp_t_1","https://imdb.com/title/tt0903747/?ref_=chttvtp_t_1"
"2","2"," Planet Earth II","https://imdb.com/title/tt5491994/?ref_=chttvtp_t_2","https://imdb.com/title/tt5491994/?ref_=chttvtp_t_2"
"3","3"," Planet Earth","https://imdb.com/title/tt0795176/?ref_=chttvtp_t_3","https://imdb.com/title/tt0795176/?ref_=chttvtp_t_3"
"4","4"," Band of Brothers","https://imdb.com/title/tt0185906/?ref_=chttvtp_t_4","https://imdb.com/title/tt0185906/?ref_=chttvtp_t_4"
"5","5"," Chernobyl","https://imdb.com/title/tt7366338/?ref_=chttvtp_t_5","https://imdb.com/title/tt7366338/?ref_=chttvtp_t_5"
"6","6"," The Wire","https://imdb.com/title/tt0306414/?ref_=chttvtp_t_6","https://imdb.com/title/tt0306414/?ref_=chttvtp_t_6"
"7","7"," Avatar: The Last Airbender","https://imdb.com/title/tt0417299/?ref_=chttvtp_t_7","https://imdb.com/title/tt0417299/?ref_=chttvtp_t_7"
"8","8"," Blue Planet II","https://imdb.com/title/tt6769208/?ref_=chttvtp_t_8","https://imdb.com/title/tt6769208/?ref_=chttvtp_t_8"
"9","9"," The Sopranos","https://imdb.com/title/tt0141842/?ref_=chttvtp_t_9","https://imdb.com/title/tt0141842/?ref_=chttvtp_t_9"
"10","10"," Cosmos: A Spacetime Odyssey","https://imdb.com/title/tt2395695/?ref_=chttvtp_t_10","https://imdb.com/title/tt2395695/?ref_=chttvtp_t_10"
"11","11"," Cosmos","https://imdb.com/title/tt0081846/?ref_=chttvtp_t_11","https://imdb.com/title/tt0081846/?ref_=chttvtp_t_11"
"12","12"," Our Planet","https://imdb.com/title/tt9253866/?ref_=chttvtp_t_12","https://imdb.com/title/tt9253866/?ref_=chttvtp_t_12"
"13","13"," Game of Thrones","https://imdb.com/title/tt0944947/?ref_=chttvtp_t_13","https://imdb.com/title/tt0944947/?ref_=chttvtp_t_13"
"14","14"," The World at War","https://imdb.com/title/tt0071075/?ref_=chttvtp_t_14","https://imdb.com/title/tt0071075/?ref_=chttvtp_t_14"
"15","15"," Rick and Morty","https://imdb.com/title/tt2861424/?ref_=chttvtp_t_15","https://imdb.com/title/tt2861424/?ref_=chttvtp_t_15"
"16","16"," Bluey","https://imdb.com/title/tt7678620/?ref_=chttvtp_t_16","https://imdb.com/title/tt7678620/?ref_=chttvtp_t_16"
"17","17"," Fullmetal Alchemist: Brotherhood","https://imdb.com/title/tt1355642/?ref_=chttvtp_t_17","https://imdb.com/title/tt1355642/?ref_=chttvtp_t_17"
"18","18"," The Last Dance","https://imdb.com/title/tt8420184/?ref_=chttvtp_t_18","https://imdb.com/title/tt8420184/?ref_=chttvtp_t_18"
"19","19"," Life","https://imdb.com/title/tt1533395/?ref_=chttvtp_t_19","https://imdb.com/title/tt1533395/?ref_=chttvtp_t_19"
"20","20"," The Twilight Zone","https://imdb.com/title/tt0052520/?ref_=chttvtp_t_20","https://imdb.com/title/tt0052520/?ref_=chttvtp_t_20"
"21","21"," Sherlock","https://imdb.com/title/tt1475582/?ref_=chttvtp_t_21","https://imdb.com/title/tt1475582/?ref_=chttvtp_t_21"
"22","22"," The Vietnam War","https://imdb.com/title/tt1877514/?ref_=chttvtp_t_22","https://imdb.com/title/tt1877514/?ref_=chttvtp_t_22"
"23","23"," Batman: The Animated Series","https://imdb.com/title/tt0103359/?ref_=chttvtp_t_23","https://imdb.com/title/tt0103359/?ref_=chttvtp_t_23"
"24","24"," Attack on Titan","https://imdb.com/title/tt2560140/?ref_=chttvtp_t_24","https://imdb.com/title/tt2560140/?ref_=chttvtp_t_24"
"25","25"," Scam 1992: The Harshad Mehta Story","https://imdb.com/title/tt12392504/?ref_=chttvtp_t_25","https://imdb.com/title/tt12392504/?ref_=chttvtp_t_25"
"26","26"," The Office","https://imdb.com/title/tt0386676/?ref_=chttvtp_t_26","https://imdb.com/title/tt0386676/?ref_=chttvtp_t_26"
"27","27"," Arcane","https://imdb.com/title/tt11126994/?ref_=chttvtp_t_27","https://imdb.com/title/tt11126994/?ref_=chttvtp_t_27"
"28","28"," The Blue Planet","https://imdb.com/title/tt0296310/?ref_=chttvtp_t_28","https://imdb.com/title/tt0296310/?ref_=chttvtp_t_28"
"29","29"," Better Call Saul","https://imdb.com/title/tt3032476/?ref_=chttvtp_t_29","https://imdb.com/title/tt3032476/?ref_=chttvtp_t_29"
"30","30"," Human Planet","https://imdb.com/title/tt1806234/?ref_=chttvtp_t_30","https://imdb.com/title/tt1806234/?ref_=chttvtp_t_30"
"31","31"," Firefly","https://imdb.com/title/tt0303461/?ref_=chttvtp_t_31","https://imdb.com/title/tt0303461/?ref_=chttvtp_t_31"
"32","32"," Frozen Planet","https://imdb.com/title/tt2092588/?ref_=chttvtp_t_32","https://imdb.com/title/tt2092588/?ref_=chttvtp_t_32"
"33","33"," Clarkson's Farm","https://imdb.com/title/tt10541088/?ref_=chttvtp_t_33","https://imdb.com/title/tt10541088/?ref_=chttvtp_t_33"
"34","34"," Death Note","https://imdb.com/title/tt0877057/?ref_=chttvtp_t_34","https://imdb.com/title/tt0877057/?ref_=chttvtp_t_34"
"35","35"," Only Fools and Horses","https://imdb.com/title/tt0081912/?ref_=chttvtp_t_35","https://imdb.com/title/tt0081912/?ref_=chttvtp_t_35"
"36","36"," Hunter x Hunter","https://imdb.com/title/tt2098220/?ref_=chttvtp_t_36","https://imdb.com/title/tt2098220/?ref_=chttvtp_t_36"
"37","37"," The Civil War","https://imdb.com/title/tt0098769/?ref_=chttvtp_t_37","https://imdb.com/title/tt0098769/?ref_=chttvtp_t_37"
"38","38"," True Detective","https://imdb.com/title/tt2356777/?ref_=chttvtp_t_38","https://imdb.com/title/tt2356777/?ref_=chttvtp_t_38"
"39","39"," Seinfeld","https://imdb.com/title/tt0098904/?ref_=chttvtp_t_39","https://imdb.com/title/tt0098904/?ref_=chttvtp_t_39"
"40","40"," The Beatles: Get Back","https://imdb.com/title/tt9735318/?ref_=chttvtp_t_40","https://imdb.com/title/tt9735318/?ref_=chttvtp_t_40"
"41","41"," The Decalogue","https://imdb.com/title/tt0092337/?ref_=chttvtp_t_41","https://imdb.com/title/tt0092337/?ref_=chttvtp_t_41"
"42","42"," Persona","https://imdb.com/title/tt7920978/?ref_=chttvtp_t_42","https://imdb.com/title/tt7920978/?ref_=chttvtp_t_42"
"43","43"," Fargo","https://imdb.com/title/tt2802850/?ref_=chttvtp_t_43","https://imdb.com/title/tt2802850/?ref_=chttvtp_t_43"
"44","44"," Cowboy Bebop","https://imdb.com/title/tt0213338/?ref_=chttvtp_t_44","https://imdb.com/title/tt0213338/?ref_=chttvtp_t_44"
"45","45"," Gravity Falls","https://imdb.com/title/tt1865718/?ref_=chttvtp_t_45","https://imdb.com/title/tt1865718/?ref_=chttvtp_t_45"
"46","46"," Nathan for You","https://imdb.com/title/tt2297757/?ref_=chttvtp_t_46","https://imdb.com/title/tt2297757/?ref_=chttvtp_t_46"
"47","47"," Last Week Tonight with John Oliver","https://imdb.com/title/tt3530232/?ref_=chttvtp_t_47","https://imdb.com/title/tt3530232/?ref_=chttvtp_t_47"
"48","48"," When They See Us","https://imdb.com/title/tt7137906/?ref_=chttvtp_t_48","https://imdb.com/title/tt7137906/?ref_=chttvtp_t_48"
"49","49"," Succession","https://imdb.com/title/tt7660850/?ref_=chttvtp_t_49","https://imdb.com/title/tt7660850/?ref_=chttvtp_t_49"
"50","50"," Apocalypse: The Second World War","https://imdb.com/title/tt1508238/?ref_=chttvtp_t_50","https://imdb.com/title/tt1508238/?ref_=chttvtp_t_50"
